148	00:04:34	28152897536	22,17537%
149	00:04:37	28361338880	8,499969%
150	00:04:40	28438978560	13,31176%
151	00:04:43	28600684544	13,46739%
152	00:04:46	28728844288	9,715393%
153	00:04:49	28841402368	10,39742%
154	00:04:51	29053009920	10,72176%
155	00:04:59	28956807168	11,6693%
156	00:05:02	29014650880	9,492405%
157	00:05:04	29150662656	10,95467%
158	00:05:07	29219512320	10,74267%
159	00:05:15	29352337408	6,151818%
160	00:05:18	29416546304	9,665247%
161	00:05:26	29497679872	10,32052%
162	00:05:42	29497581568	8,119895%
163	00:05:46	29637517312	8,417892%
164	00:05:51	29470584832	14,44475%
165	00:05:54	29528432640	14,46783%
166	00:05:57	28915560448	16,4218%
167	00:06:01	29142654976	11,79755%
168	00:06:11	29288300544	9,07429%
169	00:06:14	28678561792	13,14904%
170	00:06:17	28973305856	9,432086%
171	00:06:19	29101023232	10,82902%
172	00:06:22	29175238656	10,74143%
173	00:06:25	29240872960	14,00438%
174	00:06:28	29301891072	9,821095%
175	00:06:31	28820533248	13,3579%
176	00:06:36	28957474816	11,11664%
177	00:06:43	29030477824	15,11478%
178	00:06:46	29220761600	13,81258%
179	00:06:49	29263724544	11,91944%
180	00:06:53	27924246528	19,09922%
181	00:06:58	27489910784	9,205644%
182	00:07:00	27742609408	10,74689%
183	00:07:04	27857506304	10,57341%
184	00:07:06	27973431296	10,54058%
185	00:07:09	28192591872	9,607831%
186	00:07:13	28296392704	8,930876%
187	00:07:18	28487684096	8,69969%
188	00:07:22	28727803904	8,708603%
189	00:07:25	28917465088	8,737902%
190	00:07:30	28900401152	9,405841%
191	00:07:36	29003874304	9,3694%
192	00:07:38	29204054016	10,25456%
193	00:07:41	29270343680	8,814334%
194	00:07:45	29311512576	10,39941%
195	00:07:49	29079035904	10,71229%
196	00:07:52	29187391488	9,889213%
197	00:07:58	29320880128	9,480523%
198	00:08:02	29425311744	10,13401%
199	00:08:14	29329391616	9,663105%
200	00:08:20	29408202752	9,607272%
201	00:08:24	29164097536	11,7288%
202	00:08:30	29294088192	9,835521%
203	00:08:35	28702334976	17,83872%
204	00:08:39	28849119232	12,41508%
205	00:08:43	29155160064	16,40717%
206	00:08:48	29234176000	15,44453%
207	00:08:55	28524388352	19,06185%
208	00:08:58	28720078848	12,57201%
209	00:09:02	28945248256	13,37788%
210	00:09:09	28965654528	12,0029%
211	00:09:13	29092564992	12,60724%
212	00:09:18	29255852032	15,65541%
213	00:09:22	28238319616	18,69716%
214	00:09:28	28465029120	14,21372%
215	00:09:31	28825645056	10,98541%
216	00:09:35	28028940288	22,64958%
217	00:09:39	27514441728	9,615849%
218	00:09:45	27600711680	10,59895%
219	00:09:48	27869777920	14,63563%
220	00:09:53	28038504448	13,5213%
221	00:09:58	28219269120	12,50955%
222	00:10:20	28949454848	10,71402%
223	00:10:28	28939837440	12,86814%
224	00:10:38	29239271424	13,50347%
225	00:10:43	28173262848	13,87288%
226	00:10:47	28534210560	11,4818%
227	00:10:51	28755730432	16,79151%
228	00:10:56	28744695808	16,95883%
229	00:11:02	25672765440	28,14273%
230	00:11:07	22603620352	21,99471%
231	00:11:12	20674641920	18,25398%
232	00:11:16	20926595072	11,84609%
233	00:11:21	21177499648	12,34043%
234	00:11:25	21329387520	12,33088%
235	00:11:28	21573931008	10,81649%
236	00:11:31	21738524672	9,79511%
237	00:11:34	21947895808	9,885441%
238	00:11:36	22117822464	8,9389%
239	00:11:43	22247256064	11,73178%
240	00:11:47	22444228608	13,12147%
241	00:11:52	22608089088	10,40933%
242	00:11:56	22791061504	12,64796%
243	00:12:00	22986063872	12,96601%
244	00:12:05	23162552320	16,26654%
245	00:12:09	23343579136	12,87125%
246	00:12:18	23356956672	11,97423%
247	00:12:22	23536263168	8,906399%
248	00:12:26	23749836800	9,267282%
249	00:12:29	23898894336	9,267371%
250	00:12:34	24049917952	12,65872%
251	00:12:39	24245899264	9,846547%
252	00:12:45	24377937920	9,920119%
253	00:12:50	24423870464	10,18918%
254	00:12:57	24424386560	12,64199%
255	00:13:02	24526712832	9,302235%
256	00:13:08	24694960128	10,13503%
257	00:13:13	24818814976	11,07118%
258	00:13:18	24925437952	12,8807%
259	00:13:24	25087385600	9,798881%
260	00:13:30	25332101120	12,82154%
261	00:13:37	25773113344	15,15288%
262	00:13:40	26058489856	11,51931%
263	00:13:45	26125406208	11,829%
264	00:13:50	26265210880	10,06328%
265	00:13:55	26459299840	11,45027%
266	00:14:03	26398363648	11,26538%
267	00:14:09	26560012288	11,67982%
268	00:14:19	26276667392	10,12944%
269	00:14:24	26426327040	8,645017%
270	00:14:30	26586656768	9,581203%
271	00:14:40	26632237056	12,8169%
